Time,Power - Solarpanels - L1,Power - Solarpanels - L2,Power - Solarpanels - L3,Total solar production
1611208800000.00,9261,9185,9006,27452
1611230400000.00,-47,-45,-23,-115
1611252000000.00,-45,-44,-26,-115
1611273600000.00,-46,-44,-24,-114
1611295200000.00,13663,13569,13304,40536
1611316800000.00,-81,-59,-21,-161
1611338400000.00,-47,-44,-24,-115
1611360000000.00,-47,-44,-23,-114
1611381600000.00,2552,2535,2497,7584
1611403200000.00,-47,-44,-24,-115
1611424800000.00,-47,-46,-23,-116
1611446400000.00,-46,-43,-23,-112
1611468000000.00,4529,4499,4422,13450
1611489600000.00,-46,-44,-22,-112
1611511200000.00,-47,-45,-23,-115
1611532800000.00,-46,-44,-23,-113
1611554400000.00,4239,4236,4235,12710
1611576000000.00,-46,-44,-24,-114
1611597600000.00,-45,-44,-23,-112
1611619200000.00,-45,-43,-23,-111
1611640800000.00,8584,8513,8344,25441
1611662400000.00,-47,-45,-23,-115
1611684000000.00,-96,-55,13,-138
1611705600000.00,-45,-42,-22,-109
1611727200000.00,2991,2964,2923,8878
1611748800000.00,-47,-44,-22,-113
1611770400000.00,-46,-45,-23,-114
1611792000000.00,-91,-55,13,-133
1611813600000.00,2941,2902,2880,8723
1611835200000.00,-48,-46,-23,-117
1611856800000.00,-44,-45,-25,-114
1611878400000.00,-45,-45,-25,-115
1611900000000.00,7947,7868,7744,23559
1611921600000.00,-47,-48,-24,-119
1611943200000.00,-45,-44,-25,-114
1611964800000.00,-45,-45,-24,-114
1611986400000.00,5121,5087,5057,15265
1612008000000.00,-80,-59,-25,-164
1612029600000.00,-46,-45,-24,-115
1612051200000.00,-45,-45,-24,-114
1612072800000.00,6832,6795,6660,20287
1612094400000.00,-46,-46,-25,-117
1612116000000.00,-47,-46,-24,-117
1612137600000.00,-46,-45,-24,-115
1612159200000.00,4284,4236,4171,12691
1612180800000.00,-47,-45,-23,-115
1612202400000.00,-83,-59,-24,-166
1612224000000.00,-46,-46,-25,-117
1612245600000.00,4068,4021,3959,12048
1612267200000.00,-47,-44,-23,-114
1612288800000.00,-47,-46,-23,-116
1612310400000.00,-43,-45,-25,-113
